1975,10224,681,13.1
1976,12334,625,14.2
1977,14123,590,15.1
1978,14448,562,15.8
1979,13882,560,15.9
1980,11306,466,19.2
1981,10554,436,20.5
1982,9732,425,21.1
1983,10302,426,21
1984,14020,424,21
1985,14460,417,21.3
1985,14460,417,21.3
1985,14460,417,21.3
1986,15365,407,21.8
1987,14865,405,22
1988,15295,407,21.9
1989,14453,415,21.4
1990,12615,420,21.2
1991,12573,418,21.3
1992,12172,427,20.8
1993,13211,426,20.9
1994,14125,436,20.4
1995,15145,434,20.5
1996,13144,435,20.4
1997,14458,441,20.2
1998,14456,442,20.1
1999,15215,451,19.7
1999,15215,451,19.7
1999,15215,451,19.7
2000,16571,450,19.8
2001,15605,453,19.6
2002,16115,457,19.5
2003,15773,454,19.6
2004,15709,461,19.3
2005,15892,447,19.9
2006,15104,442,20.1
2007,15276,431,20.6
2008,13898,424,21
2009,9316,397,22.4
2010,11116,394,22.6
2011,12018,399,22.3
2012,13449,377,23.6
2013,15198,368,24.2
2014,15512,369,24.1
2015,16739,360,24.6
2016,16278,359,24.7
2017,17016,357,24.9
2018,16259,353,25.1
